🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 1.50
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 1.50
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 1.50
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 1.50
📊 [2026-04-28 12:04:42] RSI: 57.35 | เป้าซื้อ AI: < 34.7 | ตลาด: neutral
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
📊 [2026-04-28 12:29:41] RSI: 63.93 | เป้าซื้อ AI: < 28.9 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.50
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
📊 [2026-04-28 12:54:42] RSI: 52.71 | เป้าซื้อ AI: < 40.2 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 1.50
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 1.50
📊 [2026-04-28 14:09:42] RSI: 35.54 | เป้าซื้อ AI: < 40.2 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.50
📊 [2026-04-28 14:34:42] RSI: 47.50 | เป้าซื้อ AI: < 40.2 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.50
📊 [2026-04-28 14:59:41] RSI: 54.68 | เป้าซื้อ AI: < 24.1 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
📊 [2026-04-28 15:24:44] RSI: 54.52 | เป้าซื้อ AI: < 28.9 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.50
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.50
📊 [2026-04-28 15:49:42] RSI: 50.10 | เป้าซื้อ AI: < 33.8 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
📊 [2026-04-28 16:14:43] RSI: 49.75 | เป้าซื้อ AI: < 30.0 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.50
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.50
📊 [2026-04-28 22:14:29] RSI: 42.11 | เป้าซื้อ AI: < 30.0 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.50
📊 [2026-04-28 22:14:56] RSI: 49.01 | เป้าซื้อ AI: < 40.0 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
📊 [2026-04-28 22:15:02] RSI: 47.64 | เป้าซื้อ AI: < 24.1 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
📊 [2026-04-28 22:15:09] RSI: 47.28 | เป้าซื้อ AI: < 20.1 | ตลาด: high volatility
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 0.02
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 1.50
🔄 [STRATEGY 2.2] BTCUSDm | W/L: No trades today | Threshold: 1.50
📊 [2026-04-28 23:09:56] RSI: 49.25 | เป้าซื้อ AI: < 34.7 | ตลาด: neutral
