symbol,direction,entry_time,entry_price,exit_price,net_profit,result,exit_time,rsi_entry,score,h4_trend,allowed_direction,layers
BTCUSDm,BUY,2026-02-11 02:10:00,68887.98,68983.8114285714,2.8640000000000003,TP,2026-02-11 02:15:00,46.14,9,N/A,BOTH,3
BTCUSDm,SELL,2026-02-11 02:00:00,69034.26,68835.95142857141,5.944,TP,2026-02-11 02:40:00,53.96,5,N/A,BOTH,1
BTCUSDm,SELL,2026-02-11 02:05:00,69032.54,68601.5914285714,12.924,TP,2026-02-11 02:45:00,53.98,5,N/A,BOTH,2
BTCUSDm,SELL,2026-02-11 02:15:00,68974.11,68427.02142857142,16.404,TP,2026-02-11 03:15:00,50.69,5,N/A,BOTH,3
BTCUSDm,SELL,2026-02-11 09:00:00,66987.72,66811.75428571427,5.274,TP,2026-02-11 09:05:00,50.33,5,N/A,BOTH,1
BTCUSDm,SELL,2026-02-11 10:25:00,66834.41,66549.3542857143,8.544,TP,2026-02-11 10:35:00,50.26,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-12 02:20:00,67482.66,67473.33357142856,-0.28600000000000003,SL,2026-02-12 02:25:00,48.51,5,N/A,BOTH,1
BTCUSDm,SELL,2026-02-12 02:45:00,67696.57,67434.28571428571,7.864,TP,2026-02-12 02:55:00,56.92,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-12 02:50:00,67531.94,67497.47285714286,-1.036,SL,2026-02-12 02:55:00,49.11,5,N/A,BOTH,2
BTCUSDm,BUY,2026-02-12 03:30:00,67401.32,67395.14642857143,-0.196,SL,2026-02-12 03:35:00,45.98,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-12 03:45:00,67440.1,67596.0828571429,4.6739999999999995,TP,2026-02-12 04:10:00,48.23,5,N/A,BOTH,1
BTCUSDm,SELL,2026-02-12 03:55:00,67523.21,67623.63,-3.0159999999999996,SL,2026-02-12 04:10:00,53.18,5,N/A,BOTH,3
BTCUSDm,BUY,2026-02-12 03:50:00,67465.17,67368.32714285713,-2.916,SL,2026-02-12 04:15:00,49.8,5,N/A,BOTH,2
BTCUSDm,SELL,2026-02-12 07:20:00,67165.17,67251.62785714286,-2.5959999999999996,SL,2026-02-12 07:25:00,54.62,6,N/A,BOTH,1
BTCUSDm,SELL,2026-02-12 07:35:00,67155.09,67232.61642857143,-2.336,SL,2026-02-12 08:00:00,53.8,5,N/A,BOTH,1
BTCUSDm,SELL,2026-02-12 07:45:00,67097.99,67223.24785714285,-3.7659999999999996,SL,2026-02-12 08:00:00,50.32,5,N/A,BOTH,3
BTCUSDm,SELL,2026-02-12 08:10:00,67195.79,67099.72714285714,2.874,TP,2026-02-12 08:15:00,54.97,5,N/A,BOTH,2
BTCUSDm,BUY,2026-02-12 07:40:00,67074.69,66944.44285714284,-3.916,SL,2026-02-12 08:25:00,48.71,5,N/A,BOTH,2
BTCUSDm,BUY,2026-02-12 09:05:00,67011.45,67205.48,5.814,TP,2026-02-12 09:15:00,47.5,5,N/A,BOTH,3
BTCUSDm,SELL,2026-02-12 08:50:00,67051.08,67222.275,-5.146,SL,2026-02-12 09:20:00,50.3,5,N/A,BOTH,1
BTCUSDm,SELL,2026-02-12 08:55:00,67078.87,67222.87928571428,-4.3260000000000005,SL,2026-02-12 09:20:00,51.84,5,N/A,BOTH,2
BTCUSDm,SELL,2026-02-13 03:15:00,66541.53,66493.30857142858,1.444,TP,2026-02-13 03:20:00,56.5,5,N/A,BOTH,1
BTCUSDm,SELL,2026-02-13 03:20:00,66501.75,66651.04285714285,-4.486000000000001,SL,2026-02-13 03:30:00,54.36,5,N/A,BOTH,1
BTCUSDm,SELL,2026-02-13 03:25:00,66617.61,66664.78642857142,-1.426,SL,2026-02-13 03:30:00,59.42,5,N/A,BOTH,2
BTCUSDm,SELL,2026-02-13 03:40:00,66580.53,66444.57142857145,4.074,TP,2026-02-13 03:50:00,56.07,5,N/A,BOTH,1
BTCUSDm,SELL,2026-02-13 03:50:00,66514.63,66153.13,10.834,TP,2026-02-13 05:55:00,52.29,5,N/A,BOTH,2
BTCUSDm,SELL,2026-02-13 03:45:00,66483.9,66051.95714285714,12.954,TP,2026-02-13 06:20:00,50.78,5,N/A,BOTH,2
BTCUSDm,SELL,2026-02-13 03:55:00,66497.36,66093.53714285714,12.104,TP,2026-02-13 06:20:00,51.35,5,N/A,BOTH,3
BTCUSDm,SELL,2026-02-13 06:55:00,66310.88,66315.55285714286,-0.14600000000000002,SL,2026-02-13 07:00:00,55.95,6,N/A,BOTH,1
BTCUSDm,SELL,2026-02-13 07:30:00,66297.13,66229.24714285714,2.0340000000000003,TP,2026-02-13 07:35:00,50.56,6,N/A,BOTH,1
BTCUSDm,SELL,2026-02-13 08:25:00,66348.43,66449.68571428572,-3.046,SL,2026-02-13 08:35:00,54.87,10,N/A,BOTH,1
BTCUSDm,SELL,2026-02-13 08:30:00,66395.27,66452.47785714286,-1.726,SL,2026-02-13 08:35:00,56.93,9,N/A,BOTH,2
BTCUSDm,BUY,2026-02-14 02:05:00,68928.37,68862.59071428572,-1.976,SL,2026-02-14 02:20:00,48.91,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-14 02:15:00,68916.02,68875.63857142857,-1.216,SL,2026-02-14 02:20:00,47.65,5,N/A,BOTH,2
BTCUSDm,BUY,2026-02-14 02:40:00,68915.47,68895.64571428571,-0.596,SL,2026-02-14 02:45:00,49.48,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-14 03:10:00,68859.95,68848.8057142857,-0.336,SL,2026-02-14 03:15:00,45.31,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-14 03:45:00,68890.13,68800.3907142857,-2.6959999999999997,SL,2026-02-14 04:40:00,49.8,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-14 04:05:00,68856.14,68812.03714285714,-1.326,SL,2026-02-14 04:40:00,44.49,5,N/A,BOTH,2
BTCUSDm,BUY,2026-02-14 04:10:00,68851.33,68819.03785714286,-0.976,SL,2026-02-14 04:40:00,43.89,5,N/A,BOTH,3
BTCUSDm,BUY,2026-02-14 05:25:00,68831.55,68829.41785714285,-0.066,SL,2026-02-14 05:30:00,47.95,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-14 05:45:00,68796.33,68779.70785714286,-0.506,SL,2026-02-14 05:50:00,44.99,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-14 06:00:00,68762.29,68711.33071428572,-1.536,SL,2026-02-14 06:05:00,42.18,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-14 06:20:00,68782.94,68942.1085714286,4.774,TP,2026-02-14 07:30:00,47.73,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-15 02:20:00,69397.07,69370.01999999999,-0.8160000000000001,SL,2026-02-15 02:25:00,38.85,6,N/A,BOTH,1
BTCUSDm,SELL,2026-02-15 06:20:00,70339.25,70412.61571428573,-2.206,SL,2026-02-15 06:25:00,60.58,6,N/A,BOTH,1
BTCUSDm,BUY,2026-02-15 08:25:00,70529.4,70451.75714285715,-2.336,SL,2026-02-15 08:30:00,49.58,6,N/A,BOTH,1
BTCUSDm,SELL,2026-02-15 09:05:00,70601.64,70615.40428571429,-0.416,SL,2026-02-15 09:10:00,56.05,5,N/A,BOTH,1
BTCUSDm,SELL,2026-02-15 09:20:00,70529.6,70581.94142857143,-1.576,SL,2026-02-15 09:25:00,52.41,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-15 10:20:00,70377.98,70318.24285714285,-1.796,SL,2026-02-15 10:30:00,47.02,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-15 10:25:00,70398.28,70325.2007142857,-2.1959999999999997,SL,2026-02-15 10:30:00,48.33,5,N/A,BOTH,2
BTCUSDm,SELL,2026-02-15 10:45:00,70454.88,70387.82,2.004,TP,2026-02-15 10:55:00,52.76,5,N/A,BOTH,2
BTCUSDm,SELL,2026-02-15 10:50:00,70472.17,70449.47428571428,0.674,TP,2026-02-15 10:55:00,53.75,5,N/A,BOTH,3
BTCUSDm,SELL,2026-02-15 10:40:00,70427.69,70500.46571428572,-2.186,SL,2026-02-15 11:05:00,51.16,5,N/A,BOTH,1
BTCUSDm,BUY,2026-02-15 10:55:00,70386.36,70307.55785714285,-2.3659999999999997,SL,2026-02-15 11:30:00,48.31,5,N/A,BOTH,2
BTCUSDm,SELL,2026-02-16 03:55:00,68383.36,68399.41928571428,-0.486,SL,2026-02-16 04:00:00,50.01,6,N/A,BOTH,1
BTCUSDm,SELL,2026-02-16 06:30:00,68428.72,68448.16,-0.586,SL,2026-02-16 06:35:00,50.99,6,N/A,BOTH,1
BTCUSDm,SELL,2026-02-16 08:10:00,68505.6,68509.3342857143,-0.116,SL,2026-02-16 08:15:00,51.48,7,N/A,BOTH,1
BTCUSDm,BUY,2026-02-16 10:25:00,68756.7,68746.31357142857,-0.316,SL,2026-02-16 10:30:00,46.47,6,N/A,BOTH,1
BTCUSDm,BUY,2026-02-16 10:40:00,68743.56,68739.16285714286,-0.136,SL,2026-02-16 10:45:00,46.13,6,N/A,BOTH,1
BTCUSDm,BUY,2026-02-17 02:05:00,68735.13,69094.49714285717,10.774,TP,2026-02-17 02:10:00,48.69,6,N/A,BOTH,1
BTCUSDm,BUY,2026-02-17 02:55:00,68795.62,68662.50857142857,-3.996,SL,2026-02-17 03:00:00,47.17,9,N/A,BOTH,1
BTCUSDm,BUY,2026-02-17 05:10:00,68313.45,68303.60142857143,-0.306,SL,2026-02-17 05:15:00,38.61,5,N/A,BOTH,1
